trade_date;stock_code;stock_name;stock_long_name;board;sector;security_type;currency;opening_price;high_price;lowest_price;closing_price;volume_traded_mkt_trans;volume_traded_direct_business;value_traded_mkt_trans;value_traded_direct_business;shares_outstanding;market_cap;klci_indicator;fbm100_indicator
2025-09-26;0001;SCOMNET;SUPERCOMNET TECHNOLOGIES BHD;MAIN MARKET;HEALTH CARE;LOCAL ORDINARY;MYR;0.825;0.830;0.815;0.825;339200;0;278851.000;0.000;860601538;709996268.850;;
2025-09-26;0002;KOTRA;KOTRA INDUSTRIES BHD;MAIN MARKET;HEALTH CARE;LOCAL ORDINARY;MYR;4.260;4.260;4.230;4.230;1399;0;5923.800;0.000;148314083;627368571.090;;
2025-09-26;0005;UCREST;UCREST BERHAD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.075;0.080;0.075;0.075;2477200;0;186747.000;0.000;743827450;55787058.750;;
2025-09-26;0006;PINEAPP;PINEAPPLE RESOURCES BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.555;0.650;0.555;0.650;11000;0;6525.000;0.000;48500000;31525000.000;;
2025-09-26;0007;PUC;PUC BERHAD;ACE MARKET;TELECOMMUNICATIONS & MEDIA;LOCAL ORDINARY;MYR;0.020;0.020;0.020;0.020;940100;0;18802.000;0.000;3048010710;60960214.200;;
2025-09-26;0008;WILLOW;WILLOWGLEN MSC BHD;MAIN MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.275;0.285;0.275;0.280;107600;0;29944.000;0.000;496000000;138880000.000;;
2025-09-26;0010;IRIS;IRIS CORPORATION BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.270;0.280;0.270;0.275;747100;0;204648.000;0.000;815727624;224325096.600;;
2025-09-26;0011;BTECH;BRITE-TECH BHD;ACE MARKET;UTILITIES;LOCAL ORDINARY;MYR;0.270;0.280;0.270;0.280;132400;0;35901.000;0.000;252000000;70560000.000;;
2025-09-26;0012;3A;THREE-A RESOURCES BHD;MAIN MARKET;CONSUMER PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.735;0.740;0.735;0.740;92300;0;68162.500;0.000;491999987;364079990.380;;
2025-09-26;0017;XOXTECH;XOX TECHNOLOGY BERHAD;ACE MARKET;TELECOMMUNICATIONS & MEDIA;LOCAL ORDINARY;MYR;0.080;0.090;0.075;0.090;31710400;0;2675594.000;0.000;896183566;80656520.940;;
2025-09-26;0018;LAMBO;LAMBO GROUP BERHAD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.000;0.000;0.000;0.005;0;0;0.000;0.000;1540499046;7702495.230;;
2025-09-26;0020;NETX;NETX HOLDINGS BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.040;0.050;0.040;0.050;1460180;0;71205.400;0.000;937952641;46897632.050;;
2025-09-26;0020WD;NETX-WD;NETX HOLDINGS BERHAD - WARRANTS D 2024/2027;ACE MARKET;TECHNOLOGY;TSR / WARRANT;MYR;0.000;0.000;0.000;0.005;0;0;0.000;0.000;468976292;2344881.460;;
2025-09-26;0022;PARLO;PARLO BERHAD;ACE MARKET;CONSUMER PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.020;0.020;0.020;0.020;466900;0;9338.000;0.000;601150202;12023004.040;;
2025-09-26;0022WA;PARLO-WA;PARLO BERHAD - WARRANTS A 2023/2026;ACE MARKET;CONSUMER PRODUCTS & SERVICES;TSR / WARRANT;MYR;0.000;0.000;0.000;0.005;0;0;0.000;0.000;300575094;1502875.470;;
2025-09-26;0023;IFCAMSC;IFCA MSC BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.340;0.345;0.330;0.340;7726600;0;2612860.000;0.000;608290900;206818906.000;;
2025-09-26;0024;JAG;JAG BERHAD;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.260;0.275;0.260;0.270;11597097;0;3081906.235;0.000;754249992;203647497.840;;
2025-09-26;0024WC;JAG-WC;JAG BERHAD - WARRANTS C 2024/2029;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;TSR / WARRANT;MYR;0.030;0.035;0.025;0.035;2847014;0;85340.070;0.000;366792082;12837722.870;;
2025-09-26;0025;YBS;YBS INTERNATIONAL BERHAD;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.300;0.310;0.300;0.300;1059300;0;322129.000;0.000;297719091;89315727.300;;
2025-09-26;0026;NOVAMSC;NOVA MSC BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.045;0.050;0.045;0.050;350400;0;15803.000;0.000;2153238738;107661936.900;;
2025-09-26;0028;SCOPE;SCOPE INDUSTRIES BHD;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.120;0.125;0.115;0.120;2836800;0;339605.500;0.000;1155035959;138604315.080;;
2025-09-26;0029;DIGISTA;DIGISTAR CORPORATION BHD;MAIN MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.035;0.040;0.035;0.040;5600;0;196.500;0.000;629939268;25197570.720;;
2025-09-26;0029WC;DIGISTA-WC;DIGISTAR CORPORATION BERHAD - WARRANTS C 2021/2026;MAIN MARKET;TECHNOLOGY;TSR / WARRANT;MYR;0.000;0.000;0.000;0.005;0;0;0.000;0.000;86794477;433972.385;;
2025-09-26;0029WD;DIGISTA-WD;DIGISTAR CORPORATION BERHAD - WARRANTS D 2023/2028;MAIN MARKET;TECHNOLOGY;TSR / WARRANT;MYR;0.005;0.005;0.005;0.005;125000;0;625.000;0.000;79238368;396191.840;;
2025-09-26;0032;REDTONE;REDTONE DIGITAL BERHAD;MAIN MARKET;TELECOMMUNICATIONS & MEDIA;LOCAL ORDINARY;MYR;0.500;0.505;0.495;0.505;267900;0;134108.500;0.000;782453885;395139211.925;;
2025-09-26;0032CD;REDTONE-CD;REDTONE-CD: CW REDTONE DIGITAL BERHAD (KIBB);STRCWARR;TELECOMMUNICATIONS & MEDIA;CALL WARRANT - STOCK (LOCAL);MYR;0.000;0.000;0.000;0.005;0;0;0.000;0.000;35000000;175000.000;;
2025-09-26;0034;MMAG;MMAG HOLDINGS BERHAD;ACE MARKET;TRANSPORTATION & LOGISTICS;LOCAL ORDINARY;MYR;0.655;0.655;0.655;0.655;3826219;19092000;2506172.400;12409800.000;2311110251;1513777214.405;;
2025-09-26;0034WC;MMAG-WC;MMAG HOLDINGS BERHAD - WARRANTS 2024/2029;ACE MARKET;TRANSPORTATION & LOGISTICS;TSR / WARRANT;MYR;0.000;0.000;0.000;0.505;0;0;0.000;0.000;111280354;56196578.770;;
2025-09-26;0035;HEXCAP;HEXTAR CAPITAL BERHAD;ACE MARKET;TELECOMMUNICATIONS & MEDIA;LOCAL ORDINARY;MYR;0.220;0.240;0.215;0.230;4751900;0;1086690.500;0.000;581053222;133642241.060;;
2025-09-26;0036;KGROUP;KEY ALLIANCE GROUP BERHAD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.130;0.130;0.125;0.130;23513;0;2962.180;0.000;122602365;15938307.450;;
2025-09-26;0037;RGB;RGB INTERNATIONAL BHD;MAIN MARKET;CONSUMER PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.280;0.285;0.275;0.275;5911000;0;1639318.500;0.000;1548245697;425767566.675;;
2025-09-26;0038;ARTRONIQ;ARTRONIQ BERHAD;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.085;0.085;0.085;0.085;157400;0;13379.000;0.000;448753504;38144047.840;;
2025-09-26;0038WA;ARTRONIQ-WA;ARTRONIQ BERHAD - WARRANTS A 2023/2026;ACE MARKET;INDUSTRIAL PRODUCTS & SERVICES;TSR / WARRANT;MYR;0.005;0.005;0.005;0.005;100000;0;500.000;0.000;182976800;914884.000;;
2025-09-26;0039;GFM;GFM SERVICES BERHAD;MAIN MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.210;0.210;0.205;0.205;822100;0;170071.000;0.000;759550998;155707954.590;;
2025-09-26;0039WD;GFM-WD;GFM SERVICES BERHAD - WARRANTS 2024/2027;MAIN MARKET;INDUSTRIAL PRODUCTS & SERVICES;TSR / WARRANT;MYR;0.055;0.060;0.055;0.060;189200;0;10411.500;0.000;379641279;22778476.740;;
2025-09-26;0040;OPENSYS;OPENSYS (M) BHD;MAIN MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.320;0.320;0.315;0.315;72200;0;22748.000;0.000;446837649;140753859.435;;
2025-09-26;0041;HONGSENG;HONG SENG CONSOLIDATED BERHAD;MAIN MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.010;0.010;0.005;0.010;98800;0;983.500;0.000;5109134322;51091343.220;;
2025-09-26;0043;MTRONIC;METRONIC GLOBAL BHD;MAIN MARKET;INDUSTRIAL PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.015;0.015;0.015;0.015;15000;0;225.000;0.000;1531096683;22966450.245;;
2025-09-26;0045;SSB8;SOUTHERN SCORE BUILDERS BERHAD;ACE MARKET;CONSTRUCTION;LOCAL ORDINARY;MYR;0.580;0.600;0.550;0.580;16185600;0;9221319.500;0.000;2272589562;1318101945.960;;
2025-09-26;0048;ANCOMLB;ANCOM LOGISTICS BERHAD;ACE MARKET;TRANSPORTATION & LOGISTICS;LOCAL ORDINARY;MYR;0.090;0.090;0.090;0.090;46244;0;4160.200;0.000;473286313;42595768.170;;
2025-09-26;0049;OCNCASH;OCEANCASH PACIFIC BHD;MAIN MARKET;CONSUMER PRODUCTS & SERVICES;LOCAL ORDINARY;MYR;0.220;0.225;0.220;0.220;1329100;0;293555.500;0.000;260800000;57376000.000;;
2025-09-26;0050;SYSTECH;SYSTECH BHD;ACE MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.165;0.170;0.165;0.170;299400;0;50152.500;0.000;659313593;112083310.810;;
2025-09-26;0050WA;SYSTECH-WA;SYSTECH BHD - WARRANTS A 2024/2029;ACE MARKET;TECHNOLOGY;TSR / WARRANT;MYR;0.035;0.035;0.035;0.035;7551;0;262.785;0.000;160656361;5622972.635;;
2025-09-26;0051;CUSCAPI;CUSCAPI BHD;MAIN MARKET;TECHNOLOGY;LOCAL ORDINARY;MYR;0.160;0.160;0.155;0.160;1217700;0;191247.000;0.000;944884476;151181516.160;;
2025-09-26;0053;OSKVI;OSK VENTURES INTERNATIONAL BHD;ACE MARKET;FINANCIAL SERVICES;LOCAL ORDINARY;MYR;0.600;0.605;0.600;0.600;1252;0;750.630;0.000;197596872;118558123.200;;
